芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-C
思っ	オモッ	オモウ	思う	動詞	一般	*	*	五段-ワア行	連用形-促音便	3	2	I-C
たら	タラ	タ	た	助動詞	*	*	*	助動詞-タ	仮定形-一般	3	3	I-C
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O
「	*	*	「	補助記号	括弧開	*	*	*	*	3	5	O
大将	タイショー	タイショウ	大将	名詞	普通名詞	一般	*	*	*	3	6	O
、	*	*	、	補助記号	読点	*	*	*	*	3	7	O
車	クルマ	クルマ	車	名詞	普通名詞	一般	*	*	*	3	8	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	9	O
上	ウエ	ウエ	上	名詞	普通名詞	副詞可能	*	*	*	3	10	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	11	O
ネコ	ネコ	ネコ	猫	名詞	普通名詞	一般	*	*	*	3	12	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	13	O
乗っ	ノッ	ノル	乗る	動詞	一般	*	*	五段-ラ行	連用形-促音便	3	14	O
て	テ	テル	てる	助動詞	*	*	*	下一段-タ行	連用形-一般	3	15	O
ます	マス	マス	ます	助動詞	*	*	*	助動詞-マス	終止形-一般	3	16	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	17	O
。	*	*	。	補助記号	句点	*	*	*	*	3	18	O

また	マタ	マタ	又	接続詞	*	*	*	*	*	4	-11	O
また	マタ	マタ	又	接続詞	*	*	*	*	*	4	-10	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-9	O
女子	ジョシ	ジョシ	女子	名詞	普通名詞	一般	*	*	*	4	-8	O
高校	コーコー	コウコウ	高校	名詞	普通名詞	一般	*	*	*	4	-7	O
生	セー	セイ	生	接尾辞	名詞的	一般	*	*	*	4	-6	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-5	O
体罰	タイバツ	タイバツ	体罰	名詞	普通名詞	一般	*	*	*	4	-4	O
死	シ	シ	死	名詞	普通名詞	一般	*	*	*	4	-3	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	-2	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	4	-1	O
あっ	アッ	アル	有る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	4	0	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	1	B-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	2	I-F
なら	ナラ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	未然形-一般	4	3	I-F
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連体形-一般	4	4	I-F
痛ましい	イタマシー	イタマシイ	痛ましい	形容詞	一般	*	*	形容詞	連体形-一般	4	5	O
事件	ジケン	ジケン	事件	名詞	普通名詞	一般	*	*	*	4	6	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	7	O
起こっ	オコッ	オコル	起こる	動詞	一般	*	*	五段-ラ行	連用形-促音便	4	8	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	9	O
しまっ	シマッ	シマウ	仕舞う	動詞	非自立可能	*	*	五段-ワア行	連用形-促音便	4	10	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	11	O
。	*	*	。	補助記号	句点	*	*	*	*	4	12	O

どんな	ドンナ	ドンナ	どんな	連体詞	*	*	*	*	*	2	-3	O
材料	ザイリョー	ザイリョウ	材料	名詞	普通名詞	一般	*	*	*	2	-2	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-1	O
使う	ツカウ	ツカウ	使う	動詞	一般	*	*	五段-ワア行	終止形-一般	2	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F
せよ	セヨ	スル	為る	動詞	非自立可能	*	*	サ行変格	命令形	2	2	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	2	4	O
次元	ジゲン	ジゲン	次元	名詞	普通名詞	一般	*	*	*	2	5	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	6	O
平面	ヘーメン	ヘイメン	平面	名詞	普通名詞	一般	*	*	*	2	7	O
上	ジョー	ジョウ	上	接尾辞	名詞的	副詞可能	*	*	*	2	8	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	9	O
展開	テンカイ	テンカイ	展開	名詞	普通名詞	サ変可能	*	*	*	2	10	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	2	11	O
線	セン	セン	線	名詞	普通名詞	一般	*	*	*	2	12	O
や	ヤ	ヤ	や	助詞	副助詞	*	*	*	*	2	13	O
形態	ケータイ	ケイタイ	形態	名詞	普通名詞	一般	*	*	*	2	14	O
、	*	*	、	補助記号	読点	*	*	*	*	2	15	O
色彩	シキサイ	シキサイ	色彩	名詞	普通名詞	一般	*	*	*	2	16	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	17	O
よっ	ヨッ	ヨル	因る	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	18	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	19	O
描か	エガカ	エガク	描く	動詞	一般	*	*	五段-カ行	未然形-一般	2	20	O
れる	レル	レル	れる	助動詞	*	*	*	助動詞-レル	連体形-一般	2	21	O
何	ナン	ナニ	何	代名詞	*	*	*	*	*	2	22	O
か	カ	カ	か	助詞	副助詞	*	*	*	*	2	23	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	24	O
絵画	カイガ	カイガ	絵画	名詞	普通名詞	一般	*	*	*	2	25	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	26	O
あり	アリ	アル	有る	動詞	非自立可能	*	*	五段-ラ行	連用形-一般	2	27	O
つづけ	ツズケ	ツヅケル	続ける	動詞	非自立可能	*	*	下一段-カ行	連用形-一般	2	28	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	29	O
き	キ	クル	来る	動詞	非自立可能	*	*	カ行変格	連用形-一般	2	30	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	31	O
。	*	*	。	補助記号	句点	*	*	*	*	2	32	O

バブル	バブル	バブル	バブル-bubble	名詞	普通名詞	一般	*	*	*	3	-35	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	-34	O
はじけ	ハジケ	ハジケル	弾ける	動詞	一般	*	*	下一段-カ行	連用形-一般	3	-33	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-32	O
とんでも	トンデモ	トンデモ	とんでも	副詞	*	*	*	*	*	3	-31	O
ない	ナイ	ナイ	無い	形容詞	非自立可能	*	*	形容詞	連体形-一般	3	-30	O
巨額	キョガク	キョガク	巨額	形状詞	一般	*	*	*	*	3	-29	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-28	O
お	オ	オ	御	接頭辞	*	*	*	*	*	3	-27	O
金	カネ	カネ	金	名詞	普通名詞	一般	*	*	*	3	-26	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-25	O
なくし	ナクシ	ナクス	無くす	動詞	一般	*	*	五段-サ行	連用形-一般	3	-24	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-23	O
しまっ	シマッ	シマウ	仕舞う	動詞	非自立可能	*	*	五段-ワア行	連用形-促音便	3	-22	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-21	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	-20	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-19	O
それ	ソレ	ソレ	其れ	代名詞	*	*	*	*	*	3	-18	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	-17	O
預金	ヨキン	ヨキン	預金	名詞	普通名詞	サ変可能	*	*	*	3	-16	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	3	-15	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-14	O
もの	モノ	モノ	物	名詞	普通名詞	サ変可能	*	*	*	3	-13	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	3	-12	O
など	ナド	ナド	など	助詞	副助詞	*	*	*	*	3	-11	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	-10	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-9	O
気付か	キズカ	キヅク	気付く	動詞	一般	*	*	五段-カ行	未然形-一般	3	-8	O
せ	セ	セル	せる	助動詞	*	*	*	下一段-サ行	未然形-一般	3	-7	O
ず	ズ	ズ	ず	助動詞	*	*	*	助動詞-ヌ	連用形-一般	3	-6	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-5	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-4	O
大変	タイヘン	タイヘン	大変	形状詞	一般	*	*	*	*	3	-3	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	3	-2	O
大変	タイヘン	タイヘン	大変	形状詞	一般	*	*	*	*	3	-1	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	3	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F
言い	イー	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-一般	3	2	I-F
ながら	ナガラ	ナガラ	ながら	助詞	接続助詞	*	*	*	*	3	3	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O
いつ	イツ	イツ	何時	代名詞	*	*	*	*	*	3	5	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	6	O
間	アイダ	アイダ	間	名詞	普通名詞	副詞可能	*	*	*	3	7	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	8	O
か	カ	カ	か	助詞	副助詞	*	*	*	*	3	9	O
帳消し	チョーケシ	チョウケシ	帳消し	名詞	普通名詞	一般	*	*	*	3	10	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	11	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	12	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	13	O
しまう	シマウ	シマウ	仕舞う	動詞	非自立可能	*	*	五段-ワア行	終止形-一般	3	14	O
。	*	*	。	補助記号	句点	*	*	*	*	3	15	O

「	*	*	「	補助記号	括弧開	*	*	*	*	3	-9	O
数値	スーチ	スウチ	数値	名詞	普通名詞	一般	*	*	*	3	-8	O
目標	モクヒョー	モクヒョウ	目標	名詞	普通名詞	一般	*	*	*	3	-7	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-6	O
はずし	ハズシ	ハズス	外す	動詞	一般	*	*	五段-サ行	連用形-一般	3	-5	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-4	O
内容	ナイヨー	ナイヨウ	内容	名詞	普通名詞	一般	*	*	*	3	-3	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-2	O
変え	カエ	カエル	変える	動詞	一般	*	*	下一段-ア行	連用形-一般	3	-1	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	0	O
うえ	ウエ	ウエ	上	名詞	普通名詞	副詞可能	*	*	*	3	1	B-F
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	2	I-F
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	3	I-F
存続	ソンゾク	ソンゾク	存続	名詞	普通名詞	サ変可能	*	*	*	3	4	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	5	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	6	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	3	7	O
妥協	ダキョー	ダキョウ	妥協	名詞	普通名詞	サ変可能	*	*	*	3	8	O
策	サク	サク	策	名詞	普通名詞	一般	*	*	*	3	9	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	10	O
示唆	シサ	シサ	示唆	名詞	普通名詞	サ変可能	*	*	*	3	11	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	3	12	O
関係	カンケー	カンケイ	関係	名詞	普通名詞	サ変可能	*	*	*	3	13	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	3	14	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	15	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	3	16	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	3	17	O
、	*	*	、	補助記号	読点	*	*	*	*	3	18	O
来年	ライネン	ライネン	来年	名詞	普通名詞	副詞可能	*	*	*	3	19	O
早々	ソーソー	ソウソウ	早々	名詞	普通名詞	副詞可能	*	*	*	3	20	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	21	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	22	O
米	ベー	ベイ	米	名詞	普通名詞	一般	*	*	*	3	23	O
大統領	ダイトーリョー	ダイトウリョウ	大統領	名詞	普通名詞	一般	*	*	*	3	24	O
選	セン	セン	選	接尾辞	名詞的	一般	*	*	*	3	25	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	26	O
予備	ヨビ	ヨビ	予備	名詞	普通名詞	一般	*	*	*	3	27	O
選	セン	セン	選	接尾辞	名詞的	一般	*	*	*	3	28	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	29	O
季節	キセツ	キセツ	季節	名詞	普通名詞	一般	*	*	*	3	30	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	31	O
迎え	ムカエ	ムカエル	迎える	動詞	一般	*	*	下一段-ア行	連用形-一般	3	32	O
、	*	*	、	補助記号	読点	*	*	*	*	3	33	O
同	ドー	ドウ	同	名詞	普通名詞	一般	*	*	*	3	34	O
協定	キョーテー	キョウテイ	協定	名詞	普通名詞	サ変可能	*	*	*	3	35	O
問題	モンダイ	モンダイ	問題	名詞	普通名詞	一般	*	*	*	3	36	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	37	O
政治	セージ	セイジ	政治	名詞	普通名詞	一般	*	*	*	3	38	O
的	テキ	テキ	的	接尾辞	形状詞的	*	*	*	*	3	39	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	3	40	O
思惑	オモワク	オモワク	思惑	名詞	普通名詞	一般	*	*	*	3	41	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	42	O
左右	サユー	サユウ	左右	名詞	普通名詞	サ変可能	*	*	*	3	43	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	3	44	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	3	45	O
、	*	*	、	補助記号	読点	*	*	*	*	3	46	O
米国	ベーコク	ベイコク	米国	名詞	固有名詞	地名	国	*	*	3	47	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	48	O
要求	ヨーキュー	ヨウキュウ	要求	名詞	普通名詞	サ変可能	*	*	*	3	49	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	50	O
エスカレート	エスカレート	エスカレート	エスカレート-escalate	名詞	普通名詞	サ変可能	*	*	*	3	51	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	3	52	O
恐れ	オソレ	オソレ	恐れ	名詞	普通名詞	一般	*	*	*	3	53	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	54	O
ある	アル	アル	有る	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	3	55	O
。	*	*	。	補助記号	句点	*	*	*	*	3	56	O

年金	ネンキン	ネンキン	年金	名詞	普通名詞	一般	*	*	*	3	-74	O
福祉	フクシ	フクシ	福祉	名詞	普通名詞	一般	*	*	*	3	-73	O
事業	ジギョー	ジギョウ	事業	名詞	普通名詞	一般	*	*	*	3	-72	O
団	ダン	ダン	団	接尾辞	名詞的	一般	*	*	*	3	-71	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-70	O
一日	ツイタチ	ツイタチ	一日	名詞	普通名詞	副詞可能	*	*	*	3	-69	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-68	O
現在	ゲンザイ	ゲンザイ	現在	名詞	普通名詞	副詞可能	*	*	*	3	-67	O
三	サン	サン	三	名詞	数詞	*	*	*	*	3	-66	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-65	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	3	-64	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	3	-63	O
％	パーセント	パーセント	パーセント-percent	名詞	普通名詞	助数詞可能	*	*	*	3	-62	O
また	マタ	マタ	又	接続詞	*	*	*	*	*	3	-61	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-60	O
三	サン	サン	三	名詞	数詞	*	*	*	*	3	-59	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-58	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	3	-57	O
％	パーセント	パーセント	パーセント-percent	名詞	普通名詞	助数詞可能	*	*	*	3	-56	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	-55	O
なっ	ナッ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	3	-54	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-53	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連体形-一般	3	-52	O
年金	ネンキン	ネンキン	年金	名詞	普通名詞	一般	*	*	*	3	-51	O
住宅	ジュータク	ジュウタク	住宅	名詞	普通名詞	一般	*	*	*	3	-50	O
融資	ユーシ	ユウシ	融資	名詞	普通名詞	サ変可能	*	*	*	3	-49	O
貸付	カシツケ	カシツケ	貸し付け	名詞	普通名詞	サ変可能	*	*	*	3	-48	O
金利	キンリ	キンリ	金利	名詞	普通名詞	一般	*	*	*	3	-47	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-46	O
うち	ウチ	ウチ	内	名詞	普通名詞	副詞可能	*	*	*	3	-45	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-44	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	3	-43	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	3	-42	O
平方	ヘーホー	ヘイホウ	平方	名詞	普通名詞	サ変可能	*	*	*	3	-41	O
メートル	メートル	メートル	メートル-metre	名詞	普通名詞	助数詞可能	*	*	*	3	-40	O
以上	イジョー	イジョウ	以上	名詞	普通名詞	副詞可能	*	*	*	3	-39	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	3	-38	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	3	-37	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	3	-36	O
平方	ヘーホー	ヘイホウ	平方	名詞	普通名詞	サ変可能	*	*	*	3	-35	O
メートル	メートル	メートル	メートル-metre	名詞	普通名詞	助数詞可能	*	*	*	3	-34	O
以下	イカ	イカ	以下	名詞	普通名詞	一般	*	*	*	3	-33	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-32	O
一般	イッパン	イッパン	一般	名詞	普通名詞	一般	*	*	*	3	-31	O
住宅	ジュータク	ジュウタク	住宅	名詞	普通名詞	一般	*	*	*	3	-30	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-29	O
三	サン	サン	三	名詞	数詞	*	*	*	*	3	-28	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-27	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	3	-26	O
三	サン	サン	三	名詞	数詞	*	*	*	*	3	-25	O
％	パーセント	パーセント	パーセント-percent	名詞	普通名詞	助数詞可能	*	*	*	3	-24	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-23	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-22	O
災害	サイガイ	サイガイ	災害	名詞	普通名詞	一般	*	*	*	3	-21	O
復興	フッコー	フッコウ	復興	名詞	普通名詞	サ変可能	*	*	*	3	-20	O
融資	ユーシ	ユウシ	融資	名詞	普通名詞	サ変可能	*	*	*	3	-19	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-18	O
自己	ジコ	ジコ	自己	名詞	普通名詞	一般	*	*	*	3	-17	O
居住	キョジュー	キョジュウ	居住	名詞	普通名詞	サ変可能	*	*	*	3	-16	O
用	ヨー	ヨウ	用	接尾辞	名詞的	一般	*	*	*	3	-15	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-14	O
三	サン	サン	三	名詞	数詞	*	*	*	*	3	-13	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-12	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	3	-11	O
％	パーセント	パーセント	パーセント-percent	名詞	普通名詞	助数詞可能	*	*	*	3	-10	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-9	O
親	オヤ	オヤ	親	名詞	普通名詞	一般	*	*	*	3	-8	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-7	O
居住	キョジュー	キョジュウ	居住	名詞	普通名詞	サ変可能	*	*	*	3	-6	O
用	ヨー	ヨウ	用	接尾辞	名詞的	一般	*	*	*	3	-5	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-4	O
三	サン	サン	三	名詞	数詞	*	*	*	*	3	-3	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-2	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	3	-1	O
％	パーセント	パーセント	パーセント-percent	名詞	普通名詞	助数詞可能	*	*	*	3	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-C
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	終止形-一般	3	2	I-C
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	3	I-C
発表	ハッピョー	ハッピョウ	発表	名詞	普通名詞	サ変可能	*	*	*	3	4	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	5	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	6	O
。	*	*	。	補助記号	句点	*	*	*	*	3	7	O

大阪	オーサカ	オオサカ	オオサカ	名詞	固有名詞	地名	一般	*	*	3	-47	O
商工	ショーコー	ショウコウ	商工	名詞	普通名詞	一般	*	*	*	3	-46	O
会議	カイギ	カイギ	会議	名詞	普通名詞	サ変可能	*	*	*	3	-45	O
所	ショ	ショ	所	接尾辞	名詞的	一般	*	*	*	3	-44	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	-43	O
二十	ニジュー	ニジュウ	二十	名詞	数詞	*	*	*	*	3	-42	O
三	サン	サン	三	名詞	数詞	*	*	*	*	3	-41	O
日	ニチ	ニチ	日	名詞	普通名詞	助数詞可能	*	*	*	3	-40	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-39	O
開催	カイサイ	カイサイ	開催	名詞	普通名詞	サ変可能	*	*	*	3	-38	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	3	-37	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	3	-36	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	-35	O
アジア	アジア	アジア	アジア-Asia	名詞	固有名詞	地名	一般	*	*	3	-34	O
太平	タイヘー	タイヘイ	タイヘイ-外国	名詞	固有名詞	地名	一般	*	*	3	-33	O
洋	ヨー	ヨウ	洋	接尾辞	名詞的	一般	*	*	*	3	-32	O
経済	ケーザイ	ケイザイ	経済	名詞	普通名詞	一般	*	*	*	3	-31	O
協力	キョーリョク	キョウリョク	協力	名詞	普通名詞	サ変可能	*	*	*	3	-30	O
会議	カイギ	カイギ	会議	名詞	普通名詞	サ変可能	*	*	*	3	-29	O
（	*	*	（	補助記号	括弧開	*	*	*	*	3	-28	O
ＡＰＥＣ	エーペック	エーペック	ＡＰＥＣ	名詞	普通名詞	一般	*	*	*	3	-27	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	3	-26	O
ビジネス	ビジネス	ビジネス	ビジネス-business	名詞	普通名詞	一般	*	*	*	3	-25	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-24	O
コングレス	コングレス	コングレス	コングレス-congress	名詞	普通名詞	一般	*	*	*	3	-23	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-22	O
出席	シュッセキ	シュッセキ	出席	名詞	普通名詞	サ変可能	*	*	*	3	-21	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	-20	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	-19	O
アジア	アジア	アジア	アジア-Asia	名詞	固有名詞	地名	一般	*	*	3	-18	O
商工	ショーコー	ショウコウ	商工	名詞	普通名詞	一般	*	*	*	3	-17	O
会議	カイギ	カイギ	会議	名詞	普通名詞	サ変可能	*	*	*	3	-16	O
所	ショ	ショ	所	接尾辞	名詞的	一般	*	*	*	3	-15	O
連合	レンゴー	レンゴウ	連合	名詞	普通名詞	サ変可能	*	*	*	3	-14	O
会	カイ	カイ	会	名詞	普通名詞	一般	*	*	*	3	-13	O
会長	カイチョー	カイチョウ	会長	名詞	普通名詞	一般	*	*	*	3	-12	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-11	O
アウレリオ	アウレリオ	アウレリオ	アウレリオ-外国	名詞	固有名詞	人名	一般	*	*	3	-10	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-9	O
ペリケット・ジュニア	ペリケット・ジュニア	ペリケット・ジュニア	ペリケット・ジュニア	名詞	固有名詞	人名	一般	*	*	3	-8	O
氏	シ	シ	氏	接尾辞	名詞的	一般	*	*	*	3	-7	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-6	O
同日	ドージツ	ドウジツ	同日	名詞	普通名詞	副詞可能	*	*	*	3	-5	O
毎日	マイニチ	マイニチ	毎日	名詞	普通名詞	副詞可能	*	*	*	3	-4	O
新聞	シンブン	シンブン	新聞	名詞	普通名詞	一般	*	*	*	3	-3	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	-2	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-1	O
会見	カイケン	カイケン	会見	名詞	普通名詞	サ変可能	*	*	*	3	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	1	B-C
応じ	オージ	オウズル	応ずる	動詞	一般	*	*	サ行変格	連用形-一般	3	2	I-C
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	3	I-C
。	*	*	。	補助記号	句点	*	*	*	*	3	4	O

普賢	フゲン	フゲン	フゲン	名詞	固有名詞	地名	一般	*	*	3	-10	O
岳	タケ	タケ	岳	名詞	普通名詞	一般	*	*	*	3	-9	O
災害	サイガイ	サイガイ	災害	名詞	普通名詞	一般	*	*	*	3	-8	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	-7	O
長崎	ナガサキ	ナガサキ	ナガサキ	名詞	固有名詞	地名	一般	*	*	3	-6	O
県	ケン	ケン	県	名詞	普通名詞	一般	*	*	*	3	-5	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-4	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-3	O
世帯	セタイ	セタイ	世帯	名詞	普通名詞	一般	*	*	*	3	-2	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-1	O
人数	ニンズー	ニンズウ	人数	名詞	普通名詞	一般	*	*	*	3	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	1	B-F
