芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	12	O	O
思っ	オモッ	オモウ	思う	動詞	一般	*	*	五段-ワア行	連用形-促音便	3	13	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	14	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	3	15	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	16	O	O

戸田	トダ	トダ	トダ	名詞	固有名詞	人名	姓	*	*	2	-16	O	O
家	カ	カ	家	接尾辞	名詞的	一般	*	*	*	2	-15	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-14	O	O
裏切り	ウラギリ	ウラギリ	裏切り	名詞	普通名詞	一般	*	*	*	2	-13	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	-12	O	O
一時	イチジ	イチジ	一時	名詞	普通名詞	副詞可能	*	*	*	2	-11	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-10	O	O
織田	オダ	オダ	オダ	名詞	固有名詞	人名	姓	*	*	2	-9	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-8	O	O
人質	ヒトジチ	ヒトジチ	人質	名詞	普通名詞	一般	*	*	*	2	-7	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-6	O	O
なっ	ナッ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	2	-5	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-4	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	-3	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-2	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-1	O	O
家康	イエヤス	イエヤス	イエヤス	名詞	固有名詞	人名	名	*	*	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F	B-F
とり	トリ	トル	取る	動詞	一般	*	*	五段-ラ行	連用形-一般	2	2	I-F	I-F
天下	テンカ	テンカ	天下	名詞	普通名詞	一般	*	*	*	2	3	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	4	O	O
とる	トル	トル	取る	動詞	一般	*	*	五段-ラ行	連体形-一般	2	5	O	O
信長	ノブナガ	ノブナガ	ノブナガ	名詞	固有名詞	人名	名	*	*	2	6	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	7	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	8	O	O
連携	レンケー	レンケイ	連携	名詞	普通名詞	サ変可能	*	*	*	2	9	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	10	O	O
糸	イト	イト	糸	名詞	普通名詞	一般	*	*	*	2	11	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	12	O	O
つながっ	ツナガッ	ツナガル	繋がる	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	13	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	14	O	O
行く	イク	イク	行く	動詞	非自立可能	*	*	五段-カ行	連体形-一般	2	15	O	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	2	16	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	17	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	18	O	O

「	*	*	「	補助記号	括弧開	*	*	*	*	2	-2	O	O
歴史	レキシ	レキシ	歴史	名詞	普通名詞	一般	*	*	*	2	-1	O	O
その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	2	0	O	O
もの	モノ	モノ	物	名詞	普通名詞	サ変可能	*	*	*	2	1	B-B	B-B
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	2	I-B	I-B
消す	ケス	ケス	消す	動詞	一般	*	*	五段-サ行	連体形-一般	2	3	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	4	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	5	O	O
でき	デキ	デキル	出来る	動詞	非自立可能	*	*	上一段-カ行	未然形-一般	2	6	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	2	7	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	8	O	O

温泉	オンセン	オンセン	温泉	名詞	普通名詞	一般	*	*	*	3	-6	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	-5	O	O
聞け	キケ	キク	聞く	動詞	一般	*	*	五段-カ行	仮定形-一般	3	-4	O	O
ば	バ	バ	ば	助詞	接続助詞	*	*	*	*	3	-3	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-2	O	O
どんな	ドンナ	ドンナ	どんな	連体詞	*	*	*	*	*	3	-1	O	O
場所	バショ	バショ	場所	名詞	普通名詞	一般	*	*	*	3	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	1	B-B	B-F
あっ	アッ	アル	有る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	3	2	I-B	I-F
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	3	I-B	I-F
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	4	O	O
心	ココロ	ココロ	心	名詞	普通名詞	サ変可能	*	*	*	3	5	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	6	O	O
弾む	ハズム	ハズム	弾む	動詞	一般	*	*	五段-マ行	連体形-一般	3	7	O	O
もの	モノ	モノ	物	名詞	普通名詞	サ変可能	*	*	*	3	8	O	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	3	9	O	O
ある	アル	アル	有る	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	3	10	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	11	O	O

ただ	タダ	タダ	唯	接続詞	*	*	*	*	*	3	-6	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-5	O	O
米国	ベーコク	ベイコク	米国	名詞	固有名詞	地名	国	*	*	3	-4	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-3	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	3	-2	O	O
ミンボウ	ミンボウ	ミンボウ	ミンボウ	名詞	普通名詞	一般	*	*	*	3	-1	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F	B-F
言い	イー	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-一般	3	2	I-F	I-F
ながら	ナガラ	ナガラ	ながら	助詞	接続助詞	*	*	*	*	3	3	I-F	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O	O
自ら	ミズカラ	ミズカラ	自ら	名詞	普通名詞	副詞可能	*	*	*	3	5	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	6	O	O
民間	ミンカン	ミンカン	民間	名詞	普通名詞	一般	*	*	*	3	7	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	8	O	O
介入	カイニュー	カイニュウ	介入	名詞	普通名詞	サ変可能	*	*	*	3	9	O	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	3	10	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	3	11	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	12	O	O
権威	ケンイ	ケンイ	権威	名詞	普通名詞	一般	*	*	*	3	13	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	14	O	O
保っ	タモッ	タモツ	保つ	動詞	一般	*	*	五段-タ行	連用形-促音便	3	15	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	16	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連体形-一般	3	17	O	O
日本	ニッポン	ニッポン	日本	名詞	固有名詞	地名	国	*	*	3	18	O	O
政府	セーフ	セイフ	政府	名詞	普通名詞	一般	*	*	*	3	19	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	20	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	21	O	O
ビッグ	ビッグ	ビッグ	ビッグ-big	形状詞	一般	*	*	*	*	3	22	O	O
スリー	スリー	スリー	スリー-three	名詞	普通名詞	一般	*	*	*	3	23	O	O
なし	ナシ	ナシ	無し	名詞	普通名詞	一般	*	*	*	3	24	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	25	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	26	O	O
制裁	セーサイ	セイサイ	制裁	名詞	普通名詞	サ変可能	*	*	*	3	27	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	28	O	O
決め	キメ	キメル	決める	動詞	一般	*	*	下一段-マ行	未然形-一般	3	29	O	O
られ	ラレ	ラレル	られる	助動詞	*	*	*	助動詞-レル	未然形-一般	3	30	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連体形-一般	3	31	O	O
米国	ベーコク	ベイコク	米国	名詞	固有名詞	地名	国	*	*	3	32	O	O
政府	セーフ	セイフ	政府	名詞	普通名詞	一般	*	*	*	3	33	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	34	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	3	35	O	O
聖戦	セーセン	セイセン	聖戦	名詞	普通名詞	一般	*	*	*	3	36	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	37	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	38	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	39	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	40	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	41	O	O
交渉	コーショー	コウショウ	交渉	名詞	普通名詞	サ変可能	*	*	*	3	42	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	43	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	44	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	45	O	O
おのずと	オノズト	オノズト	自ずと	副詞	*	*	*	*	*	3	46	O	O
限界	ゲンカイ	ゲンカイ	限界	名詞	普通名詞	一般	*	*	*	3	47	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	48	O	O
ある	アル	アル	有る	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	3	49	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	50	O	O

木村	キムラ	キムラ	キムラ	名詞	固有名詞	人名	姓	*	*	2	-7	O	O
功	イサオ	イサオ	イサオ	名詞	固有名詞	人名	名	*	*	2	-6	O	O
監督	カントク	カントク	監督	名詞	普通名詞	サ変可能	*	*	*	2	-5	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-4	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	-3	O	O
きょう	キョー	キョウ	今日	名詞	普通名詞	副詞可能	*	*	*	2	-2	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-1	O	O
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	連体形-一般	2	0	O	O
ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-C	B-C
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	2	I-C	I-C
探す	サガス	サガス	探す	動詞	一般	*	*	五段-サ行	連体形-一般	2	3	O	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	2	4	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	5	O	O
難しい	ムズカシー	ムズカシイ	難しい	形容詞	一般	*	*	形容詞	終止形-一般	2	6	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	7	O	O

米国	ベーコク	ベイコク	米国	名詞	固有名詞	地名	国	*	*	2	0	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	1	B-F	B-F
はじめ	ハジメ	ハジメ	始め	名詞	普通名詞	副詞可能	*	*	*	2	2	I-F	I-F
独	ドク	ドク	独	名詞	普通名詞	一般	*	*	*	2	3	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	4	O	O
仏	フツ	フツ	仏	名詞	普通名詞	一般	*	*	*	2	5	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	6	O	O
知っ	シッ	シル	知る	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	7	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	8	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	9	O	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	2	10	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	11	O	O
日本	ニッポン	ニッポン	日本	名詞	固有名詞	地名	国	*	*	2	12	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	13	O	O
遠く	トーク	トオイ	遠い	形容詞	一般	*	*	形容詞	連用形-一般	2	14	O	O
離れ	ハナレ	ハナレル	離れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	2	15	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	16	O	O
国	クニ	クニ	国	名詞	普通名詞	一般	*	*	*	2	17	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	18	O	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	2	19	O	O
目	メ	メ	目	名詞	普通名詞	一般	*	*	*	2	20	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	21	O	O
見	ミ	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	連用形-一般	2	22	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	23	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	24	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	25	O	O

昼間	ヒルマ	ヒルマ	昼間	名詞	普通名詞	副詞可能	*	*	*	3	-19	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-18	O	O
老人	ロージン	ロウジン	老人	名詞	普通名詞	一般	*	*	*	3	-17	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-16	O	O
多く	オーク	オオク	多く	名詞	普通名詞	副詞可能	*	*	*	3	-15	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	-14	O	O
若い	ワカイ	ワカイ	若い	形容詞	一般	*	*	形容詞	連体形-一般	3	-13	O	O
ころ	コロ	コロ	頃	名詞	普通名詞	副詞可能	*	*	*	3	-12	O	O
働い	ハタライ	ハタラク	働く	動詞	一般	*	*	五段-カ行	連用形-イ音便	3	-11	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-10	O	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	3	-9	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	-8	O	O
撮影	サツエー	サツエイ	撮影	名詞	普通名詞	サ変可能	*	*	*	3	-7	O	O
所	ショ	ショ	所	接尾辞	名詞的	一般	*	*	*	3	-6	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-5	O	O
出向い	デムイ	デムク	出向く	動詞	一般	*	*	五段-カ行	連用形-イ音便	3	-4	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	-3	O	O
後輩	コーハイ	コウハイ	後輩	名詞	普通名詞	一般	*	*	*	3	-2	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-1	O	O
指導	シドー	シドウ	指導	名詞	普通名詞	サ変可能	*	*	*	3	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	1	B-C	B-C
あたっ	アタッ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-促音便	3	2	I-C	I-C
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	3	I-C	I-C
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	3	4	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	5	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	6	O	O

ある	アル	アル	或る	連体詞	*	*	*	*	*	3	-13	O	O
法律	ホーリツ	ホウリツ	法律	名詞	普通名詞	一般	*	*	*	3	-12	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	-11	O	O
でき	デキ	デキル	出来る	動詞	非自立可能	*	*	上一段-カ行	連用形-一般	3	-10	O	O
たら	タラ	タ	た	助動詞	*	*	*	助動詞-タ	仮定形-一般	3	-9	O	O
庶民	ショミン	ショミン	庶民	名詞	普通名詞	一般	*	*	*	3	-8	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-7	O	O
どう	ドー	ドウ	どう	副詞	*	*	*	*	*	3	-6	O	O
思う	オモウ	オモウ	思う	動詞	一般	*	*	五段-ワア行	終止形-一般	3	-5	O	O
だろう	ダロー	ダ	だ	助動詞	*	*	*	助動詞-ダ	意志推量形	3	-4	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-3	O	O
それ	ソレ	ソレ	其れ	代名詞	*	*	*	*	*	3	-2	O	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	3	-1	O	O
逃れよう	ノガレヨー	ノガレル	逃れる	動詞	一般	*	*	下一段-ラ行	意志推量形	3	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-C	B-C
思っ	オモッ	オモウ	思う	動詞	一般	*	*	五段-ワア行	連用形-促音便	3	2	I-C	I-C
たら	タラ	タ	た	助動詞	*	*	*	助動詞-タ	仮定形-一般	3	3	I-C	I-C
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O	O
どんな	ドンナ	ドンナ	どんな	連体詞	*	*	*	*	*	3	5	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	3	6	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	7	O	O
考える	カンガエル	カンガエル	考える	動詞	一般	*	*	下一段-ア行	終止形-一般	3	8	O	O
だろう	ダロー	ダ	だ	助動詞	*	*	*	助動詞-ダ	意志推量形	3	9	O	O
か	カ	カ	か	助詞	終助詞	*	*	*	*	3	10	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	11	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	12	O	O

一	イチ	イチ	一	名詞	数詞	*	*	*	*	2	-8	O	O
九	キュー	キュウ	九	名詞	数詞	*	*	*	*	2	-7	O	O
八	ハチ	ハチ	八	名詞	数詞	*	*	*	*	2	-6	O	O
八	ハチ	ハチ	八	名詞	数詞	*	*	*	*	2	-5	O	O
年	ネン	ネン	年	名詞	普通名詞	助数詞可能	*	*	*	2	-4	O	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	2	-3	O	O
八	ハチ	ハチ	八	名詞	数詞	*	*	*	*	2	-2	O	O
九	キュー	キュウ	九	名詞	数詞	*	*	*	*	2	-1	O	O
年	ネン	ネン	年	名詞	普通名詞	助数詞可能	*	*	*	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F	B-F
かけ	カケ	カケル	掛ける	動詞	非自立可能	*	*	下一段-カ行	連用形-一般	2	2	I-F	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
同	ドー	ドウ	同	名詞	普通名詞	一般	*	*	*	2	4	O	O
次官	ジカン	ジカン	次官	名詞	普通名詞	一般	*	*	*	2	5	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	6	O	O
当時	トージ	トウジ	当時	名詞	普通名詞	副詞可能	*	*	*	2	7	O	O
経済	ケーザイ	ケイザイ	経済	名詞	普通名詞	一般	*	*	*	2	8	O	O
相	ショー	ショウ	相	接尾辞	名詞的	一般	*	*	*	2	9	O	O
だっ	ダッ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-促音便	2	10	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	11	O	O
クラース	クラース	クラース	クラース	名詞	普通名詞	一般	*	*	*	2	12	O	O
事務	ジム	ジム	事務	名詞	普通名詞	一般	*	*	*	2	13	O	O
総長	ソーチョー	ソウチョウ	総長	名詞	普通名詞	一般	*	*	*	2	14	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	15	O	O
官房	カンボー	カンボウ	官房	名詞	普通名詞	一般	*	*	*	2	16	O	O
長	チョー	チョウ	長	接尾辞	名詞的	一般	*	*	*	2	17	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	18	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	19	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	20	O	O
軍用	グンヨー	グンヨウ	軍用	名詞	普通名詞	一般	*	*	*	2	21	O	O
ヘリ	ヘリ	ヘリ	ヘリ-helicopter	名詞	普通名詞	一般	*	*	*	2	22	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	23	O	O
選定	センテー	センテイ	選定	名詞	普通名詞	サ変可能	*	*	*	2	24	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	25	O	O
当たり	アタリ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-一般	2	26	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	27	O	O
イタリア	イタリア	イタリア	イタリア-Italia	名詞	固有名詞	地名	国	*	*	2	28	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	29	O	O
アグスタ	アグスタ	アグスタ	アグスタ	名詞	固有名詞	一般	*	*	*	2	30	O	O
社	シャ	シャ	社	名詞	普通名詞	助数詞可能	*	*	*	2	31	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	32	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	33	O	O
間	アイダ	アイダ	間	名詞	普通名詞	副詞可能	*	*	*	2	34	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	35	O	O
行わ	オコナワ	オコナウ	行う	動詞	一般	*	*	五段-ワア行	未然形-一般	2	36	O	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	37	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	38	O	O
ヘリ	ヘリ	ヘリ	ヘリ-helicopter	名詞	普通名詞	一般	*	*	*	2	39	O	O
四十	ヨンジュー	ヨンジュウ	四十	名詞	数詞	*	*	*	*	2	40	O	O
六	ロク	ロク	六	名詞	数詞	*	*	*	*	2	41	O	O
機	キ	キ	機	名詞	普通名詞	助数詞可能	*	*	*	2	42	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	43	O	O
総額	ソーガク	ソウガク	総額	名詞	普通名詞	一般	*	*	*	2	44	O	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	2	45	O	O
億	オク	オク	億	名詞	数詞	*	*	*	*	2	46	O	O
二千	ニセン	ニセン	二千	名詞	数詞	*	*	*	*	2	47	O	O
五百	ゴヒャク	ゴヒャク	五百	名詞	数詞	*	*	*	*	2	48	O	O
万	マン	マン	万	名詞	数詞	*	*	*	*	2	49	O	O
ドル	ドル	ドル	ドル-dollar	名詞	普通名詞	助数詞可能	*	*	*	2	50	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	51	O	O
取引	トリヒキ	トリヒキ	取り引き	名詞	普通名詞	サ変可能	*	*	*	2	52	O	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	53	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	54	O	O
収賄	シューワイ	シュウワイ	収賄	名詞	普通名詞	サ変可能	*	*	*	2	55	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	56	O	O
関与	カンヨ	カンヨ	関与	名詞	普通名詞	サ変可能	*	*	*	2	57	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	58	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	59	O	O
容疑	ヨーギ	ヨウギ	容疑	名詞	普通名詞	一般	*	*	*	2	60	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	61	O	O
固まっ	カタマッ	カタマル	固まる	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	62	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	63	O	O
ため	タメ	タメ	為	名詞	普通名詞	副詞可能	*	*	*	2	64	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	65	O	O
み	ミ	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	未然形-一般	2	66	O	O
られる	ラレル	ラレル	られる	助動詞	*	*	*	助動詞-レル	終止形-一般	2	67	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	68	O	O

阪神	ハンシン	ハンシン	ハンシン	名詞	固有名詞	地名	一般	*	*	3	-7	O	O
大	ダイ	ダイ	大	接頭辞	*	*	*	*	*	3	-6	O	O
震災	シンサイ	シンサイ	震災	名詞	普通名詞	一般	*	*	*	3	-5	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-4	O	O
被災	ヒサイ	ヒサイ	被災	名詞	普通名詞	サ変可能	*	*	*	3	-3	O	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	3	-2	O	O
支援	シエン	シエン	支援	名詞	普通名詞	サ変可能	*	*	*	3	-1	O	O
策	サク	サク	策	名詞	普通名詞	一般	*	*	*	3	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F	B-F
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	2	I-F	I-F
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	3	I-F	I-F
生命	セーメー	セイメイ	生命	名詞	普通名詞	一般	*	*	*	3	4	O	O
保険	ホケン	ホケン	保険	名詞	普通名詞	一般	*	*	*	3	5	O	O
各社	カクシャ	カクシャ	各社	名詞	普通名詞	一般	*	*	*	3	6	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	7	O	O
取っ	トッ	トル	取る	動詞	一般	*	*	五段-ラ行	連用形-促音便	3	8	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	9	O	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	3	10	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	11	O	O
保険	ホケン	ホケン	保険	名詞	普通名詞	一般	*	*	*	3	12	O	O
料	リョー	リョウ	料	接尾辞	名詞的	一般	*	*	*	3	13	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	14	O	O
払い込み	ハライコミ	ハライコミ	払い込み	名詞	普通名詞	一般	*	*	*	3	15	O	O
猶予	ユーヨ	ユウヨ	猶予	名詞	普通名詞	サ変可能	*	*	*	3	16	O	O
措置	ソチ	ソチ	措置	名詞	普通名詞	サ変可能	*	*	*	3	17	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	18	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	19	O	O
今月	コンゲツ	コンゲツ	今月	名詞	普通名詞	副詞可能	*	*	*	3	20	O	O
限り	カギリ	カギリ	限り	名詞	普通名詞	副詞可能	*	*	*	3	21	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	22	O	O
ほぼ	ホボ	ホボ	略	副詞	*	*	*	*	*	3	23	O	O
一斉	イッセー	イッセイ	一斉	名詞	普通名詞	一般	*	*	*	3	24	O	O
